"abbr","name","ppe"
"NY","New York",31918
"DC","District of Columbia",31529
"VT","Vermont",28818
"NJ","New Jersey",27234
"CT","Connecticut",26316
"MA","Massachusetts",24429
"HI","Hawaii",23878
"NH","New Hampshire",22978
"DE","Delaware",22201
"RI","Rhode Island",22110
"IL","Illinois",21776
"PA","Pennsylvania",21091
"AK","Alaska",21004
"CA","California",20791
"WY","Wyoming",20521
"MD","Maryland",20208
"ME","Maine",19962
"WA","Washington",18564
"MI","Michigan",18314
"OR","Oregon",18083
"NM","New Mexico",17664
"OH","Ohio",17257
"VA","Virginia",17104
"ND","North Dakota",17102
"MN","Minnesota",17098
"NE","Nebraska",16147
"WI","Wisconsin",15952
"CO","Colorado",15908
"GA","Georgia",15833
"WV","West Virginia",15640
"LA","Louisiana",15581
"KS","Kansas",15558
"SC","South Carolina",15060
"NV","Nevada",14812
"KY","Kentucky",14596
"IA","Iowa",14369
"MO","Missouri",14241
"AR","Arkansas",13873
"MT","Montana",13656
"AL","Alabama",13627
"IN","Indiana",13622
"NC","North Carolina",12995
"TX","Texas",12895
"TN","Tennessee",12882
"SD","South Dakota",12828
"FL","Florida",12693
"MS","Mississippi",12324
"OK","Oklahoma",12162
"AZ","Arizona",12003
"UT","Utah",11347
"ID","Idaho",11060
