"abbr","name","ppe","lowinc","overall"
"AK","Alaska",21004,13.2749118913516,21.7349952706086
"AL","Alabama",13627,17.4716849007577,28.0413350317572
"AR","Arkansas",13873,20.5595382109581,28.1002118549837
"AZ","Arizona",12003,16.0735929632094,26.4451400433821
"CA","California",20791,17.6197763351536,28.6545726389288
"CO","Colorado",15908,18.9341658913526,35.6550279312484
"CT","Connecticut",26316,18.0015138362998,36.1526657053546
"DE","Delaware",22201,14.7084229377748,26.4820935991706
"FL","Florida",12693,24.3336717706071,32.9870052784604
"GA","Georgia",15833,22.3475077624334,30.4397461209358
"HI","Hawaii",23878,18.0659731918594,31.5945830314045
"IA","Iowa",14369,16.7824145627541,29.1556632637308
"ID","Idaho",11060,23.3322139003327,31.8712506480323
"IL","Illinois",21776,18.2352737679737,30.4330049539398
"IN","Indiana",13622,23.9924871863157,34.4626165410332
"KS","Kansas",15558,15.2524475249335,28.2776881576295
"KY","Kentucky",14596,24.2716074830856,32.7092599044668
"LA","Louisiana",15581,24.7139060785963,31.8391790199043
"MA","Massachusetts",24429,20.3001879615223,40.396320452327
"MD","Maryland",20208,16.2494828321254,33.5527837590138
"ME","Maine",19962,14.5801397411649,26.0650180095737
"MI","Michigan",18314,13.4310267697147,24.5559508032862
"MN","Minnesota",17098,15.6276790919244,30.6995685131477
"MO","Missouri",14241,16.2196780993748,27.1579907688271
"MS","Mississippi",12324,24.4278590156815,31.9803650021783
"MT","Montana",13656,22.8997541373366,31.8760671779882
"NC","North Carolina",12995,19.4269939293084,30.0839939314761
"ND","North Dakota",17102,19.4205712798684,28.6594796386184
"NE","Nebraska",16147,15.7544139005137,27.9767202646842
"NH","New Hampshire",22978,18.2146015089498,36.179192949919
"NJ","New Jersey",27234,21.0937959843724,38.3125224710818
"NM","New Mexico",17664,14.0394989482639,20.2934317844037
"NV","Nevada",14812,27.0627898405166,30.0267476587493
"NY","New York",31918,20.5564045550079,30.8508393341999
"OH","Ohio",17257,21.8498740311211,32.3971009672996
"OK","Oklahoma",12162,15.8619474705068,22.6968684616896
"OR","Oregon",18083,11.2047046978273,26.6051925830287
"PA","Pennsylvania",21091,22.5602017019466,32.9468897971417
"RI","Rhode Island",22110,16.7681769771603,32.5584256674308
"SC","South Carolina",15060,21.7818371106967,32.4747248997958
"SD","South Dakota",12828,14.749739470314,27.980167999366
"TN","Tennessee",12882,17.2880760942317,31.7835185386427
"TX","Texas",12895,18.4612497298404,27.5413660662251
"UT","Utah",11347,17.5560728499495,36.3221186565382
"VA","Virginia",17104,17.939194272562,30.7225700557571
"VT","Vermont",28818,17.881269536467,30.5029402524659
"WA","Washington",18564,18.6660417775903,32.0141514354849
"WI","Wisconsin",15952,17.0218903911741,31.31425631968
"WV","West Virginia",15640,17.1215462441286,24.6273090277865
"WY","Wyoming",20521,22.8765288460041,35.8470806926919
